Date,Description,Amount,Transaction Type,Category,Account Name
01/16/2019,Internet Service Provider,197.8,debit,Utilities,Silver Card
01/24/2018,City Water Charges,1.75,debit,Credit Card Payment,Platinum Card
04/26/2018,Credit Card Payment,901.84,credit,Home Improvement,Checking
04/16/2018,Credit Card Payment,1965.86,debit,Credit Card Payment,Checking
04/24/2018,Credit Card Payment,1.75,debit,Auto Insurance,Silver Card
02/15/2019,Biweekly Paycheck,2229.39,debit,Credit Card Payment,Checking
10/28/2018,Sheetz,1.75,debit,Restaurants,Platinum Card
05/01/2018,Gas Company,1.75,debit,Gas & Fuel,Platinum Card
02/03/2018,Starbucks,41.0,debit,Fast Food,Platinum Card
01/31/2019,Power Company,120.47,debit,Internet,Platinum Card
09/02/2018,Credit Card Payment,1226.95,debit,Restaurants,Silver Card
07/24/2018,Power Company,66.04,debit,Gas & Fuel,Platinum Card
09/22/2018,Go Mart,1.75,debit,Restaurants,Platinum Card
10/02/2018,Biweekly Paycheck,1.75,credit,Credit Card Payment,Checking
09/07/2018,Netflix,113.4,debit,Restaurants,Silver Card
03/20/2019,Best Buy,128.7,debit,Fast Food,Silver Card
05/15/2018,Fancy Restaurant,1552.33,debit,Credit Card Payment,Platinum Card
06/04/2018,Grocery Store,1.75,debit,Gas & Fuel,Platinum Card
07/10/2018,Latin Restaurant,1.75,debit,Restaurants,Platinum Card
11/06/2018,Power Company,159.21,debit,Internet,Platinum Card
01/11/2018,Grocery Store,200.27,debit,Fast Food,Checking
04/26/2018,Biweekly Paycheck,933.55,debit,Paycheck,Platinum Card
01/21/2019,Biweekly Paycheck,1515.95,credit,Paycheck,Checking
04/25/2019,American Tavern,198.13,debit,Mobile Phone,Checking
06/26/2018,Biweekly Paycheck,195.65,debit,Restaurants,Platinum Card
02/26/2018,Biweekly Paycheck,2893.75,credit,Paycheck,Checking
04/06/2018,American Tavern,185.86,debit,Groceries,Platinum Card
06/28/2018,Biweekly Paycheck,473.73,credit,Paycheck,Checking
02/03/2018,Spotify,49.09,debit,Utilities,Platinum Card
01/25/2019,Japanese Restaurant,193.99,debit,Paycheck,Silver Card
04/28/2018,Spotify,195.33,debit,Music,Checking
04/26/2019,Phone Company,194.65,debit,Shopping,Checking
04/25/2018,Vietnamese Restaurant,200.53,debit,Restaurants,Platinum Card
06/02/2018,Gas Company,173.87,debit,Home Improvement,Checking
01/01/2018,State Farm,960.92,debit,Internet,Platinum Card
09/22/2018,Japanese Restaurant,1.75,debit,Electronics & Software,Platinum Card
02/19/2019,Mortgage Payment,102.32,debit,Gas & Fuel,Platinum Card
01/11/2018,Fancy Restaurant,851.06,debit,Fast Food,Platinum Card
01/03/2018,Amazon,159.44,debit,Utilities,Checking
03/18/2019,Brunch Restaurant,3073.5,credit,Auto Insurance,Checking
01/09/2019,Exxon,188.37,debit,Movies & DVDs,Silver Card
03/03/2018,Conoco,1.75,debit,Utilities,Silver Card
01/15/2018,Biweekly Paycheck,857.25,credit,Credit Card Payment,Checking
01/08/2018,Internet Service Provider,155.54,debit,Gas & Fuel,Platinum Card
06/03/2018,Gas Company,94.6,debit,Internet,Silver Card
11/12/2018,Hardware Store,1.75,debit,Music,Platinum Card
01/10/2018,Gas Company,1.75,debit,Shopping,Platinum Card
10/16/2018,Italian Restaurant,1.75,debit,Fast Food,Platinum Card
08/18/2018,Amazon,103.58,debit,Restaurants,Platinum Card
01/31/2019,State Farm,691.21,debit,Fast Food,Checking
08/27/2018,New York Deli,73.18,debit,Gas & Fuel,Platinum Card
04/18/2018,Biweekly Paycheck,1801.02,credit,Paycheck,Checking
02/05/2019,Amazon,1.75,debit,Utilities,Silver Card
07/15/2019,Internet Service Provider,1.75,debit,Restaurants,Platinum Card
07/23/2019,Biweekly Paycheck,205.51,credit,Paycheck,Checking
07/21/2018,Bakery Place,1.75,debit,Utilities,Platinum Card
01/21/2019,Valero,199.46,debit,Entertainment,Silver Card
02/01/2019,Credit Card Payment,190.95,debit,Credit Card Payment,Checking
06/25/2018,Amazon,194.24,debit,Mobile Phone,Platinum Card
06/27/2018,Sheetz,1.75,debit,Utilities,Platinum Card
10/04/2018,Fancy Restaurant,183.11,debit,Music,Checking
04/24/2018,Gas Company,152.73,debit,Shopping,Platinum Card
01/02/2018,Internet Service Provider,1.75,debit,Restaurants,Platinum Card
08/09/2019,BP,156.69,debit,Utilities,Checking
03/08/2018,Brewing Company,197.29,debit,Restaurants,Silver Card
12/19/2018,Biweekly Paycheck,3213.91,credit,Credit Card Payment,Checking
04/11/2018,Internet Service Provider,190.58,debit,Restaurants,Checking
08/01/2018,Gas Station,1.75,debit,Restaurants,Platinum Card
02/21/2018,Biweekly Paycheck,768.4,credit,Paycheck,Checking
04/11/2018,Brunch Restaurant,193.16,debit,Home Improvement,Platinum Card
03/20/2018,Internet Service Provider,66.73,debit,Auto Insurance,Silver Card
01/09/2019,Hardware Store,1.75,debit,Internet,Silver Card
06/26/2018,Grocery Store,103.59,debit,Mobile Phone,Silver Card
07/11/2018,American Tavern,60.27,debit,Haircut,Platinum Card
05/25/2018,Movie Theater,1.75,debit,Home Improvement,Silver Card
08/01/2018,Mortgage Payment,1.75,debit,Shopping,Platinum Card
12/09/2018,Hardware Store,1.75,debit,Restaurants,Platinum Card
02/14/2018,BP,1.75,debit,Restaurants,Platinum Card
02/09/2018,Movie Theater,1.75,debit,Restaurants,Silver Card
06/04/2019,Credit Card Payment,2040.14,debit,Paycheck,Platinum Card
07/09/2018,Grocery Store,54.08,debit,Coffee Shops,Platinum Card
07/09/2018,Phone Company,193.68,debit,Shopping,Platinum Card
08/11/2018,Vietnamese Restaurant,189.23,debit,Restaurants,Silver Card
03/18/2019,BBQ Restaurant,123.56,debit,Electronics & Software,Platinum Card
06/21/2018,Movie Theater,155.53,debit,Restaurants,Platinum Card
07/02/2018,Spotify,112.09,debit,Alcohol & Bars,Silver Card
07/11/2018,Brewing Company,1.75,debit,Mobile Phone,Platinum Card
06/14/2018,Thai Restaurant,200.16,debit,Credit Card Payment,Checking
05/12/2018,Grocery Store,134.29,debit,Restaurants,Silver Card
06/27/2018,Power Company,173.22,debit,Restaurants,Platinum Card
07/02/2018,Starbucks,145.73,debit,Gas & Fuel,Platinum Card
12/18/2018,Shell,1.75,debit,Restaurants,Platinum Card
12/18/2018,Internet Service Provider,182.5,debit,Restaurants,Platinum Card
02/07/2019,Power Company,1.75,debit,Alcohol & Bars,Silver Card
02/15/2018,Biweekly Paycheck,1550.99,credit,Paycheck,Checking
11/10/2018,Mexican Restaurant,3168.13,debit,Coffee Shops,Silver Card
07/31/2018,Internet Service Provider,1.75,debit,Groceries,Platinum Card
01/05/2019,Credit Card Payment,2002.41,credit,Credit Card Payment,Checking
01/21/2019,Mexican Restaurant,198.03,debit,Credit Card Payment,Platinum Card
10/21/2018,Mortgage Payment,1.75,debit,Credit Card Payment,Silver Card
12/18/2018,Sushi Restaurant,1.75,debit,Paycheck,Silver Card
08/18/2018,Irish Restaurant,88.81,debit,Shopping,Platinum Card
01/18/2019,Credit Card Payment,2084.19,credit,Paycheck,Checking
01/11/2018,Movie Theater,212.32,debit,Mortgage & Rent,Silver Card
06/20/2018,Greek Restaurant,191.07,debit,Shopping,Platinum Card
03/04/2019,Amazon,164.89,debit,Alcohol & Bars,Platinum Card
01/31/2019,Mediterranean Restaurant,138.22,debit,Shopping,Silver Card
03/04/2019,Biweekly Paycheck,89.09,debit,Paycheck,Platinum Card
03/14/2019,Gas Company,164.57,debit,Shopping,Platinum Card
04/24/2018,Brewing Company,177.34,debit,Restaurants,Platinum Card
08/18/2018,Fancy Restaurant,1.75,debit,Utilities,Platinum Card
02/20/2018,American Tavern,192.04,debit,Music,Silver Card
06/15/2018,Japanese Restaurant,199.43,debit,Food & Dining,Platinum Card
04/24/2018,Netflix,1.75,debit,Mobile Phone,Platinum Card
04/08/2019,Phone Company,146.21,credit,Fast Food,Platinum Card
04/04/2018,American Tavern,96.44,debit,Utilities,Platinum Card
09/22/2018,Starbucks,171.54,debit,Alcohol & Bars,Checking
12/21/2018,Spotify,1.75,debit,Restaurants,Platinum Card
02/16/2019,Wendy's,1.75,debit,Alcohol & Bars,Platinum Card
09/20/2018,Biweekly Paycheck,147.12,debit,Credit Card Payment,Platinum Card
01/22/2019,Mortgage Payment,1.75,debit,Movies & DVDs,Platinum Card
03/30/2018,Blue Sky Market,133.85,debit,Restaurants,Platinum Card
01/20/2018,Biweekly Paycheck,176.52,debit,Electronics & Software,Platinum Card
01/15/2019,Grocery Store,1.75,debit,Restaurants,Platinum Card
07/15/2018,QuikTrip,1.75,debit,Movies & DVDs,Silver Card
08/15/2018,Target,1.75,debit,Internet,Platinum Card
08/01/2018,Amazon,154.03,debit,Home Improvement,Platinum Card
02/03/2018,Best Buy,181.16,debit,Restaurants,Platinum Card
12/18/2018,Valero,1.75,debit,Utilities,Platinum Card
04/21/2018,Movie Theater,1.75,debit,Haircut,Platinum Card
09/02/2018,BP,200.44,debit,Auto Insurance,Platinum Card
05/18/2018,Credit Card Payment,1.75,debit,Television,Platinum Card
01/03/2019,State Farm,166.44,debit,Restaurants,Checking
01/25/2019,BP,148.66,debit,Auto Insurance,Checking
08/15/2018,Biweekly Paycheck,2954.97,credit,Credit Card Payment,Checking
01/18/2019,BBQ Restaurant,192.9,debit,Home Improvement,Silver Card
04/20/2018,American Tavern,164.47,debit,Restaurants,Platinum Card
01/16/2019,Movie Theater,71.75,debit,Coffee Shops,Checking
12/08/2018,Brewing Company,1.75,debit,Restaurants,Checking
07/18/2019,Credit Card Payment,3294.92,debit,Credit Card Payment,Checking
02/15/2019,Bojangles,193.25,debit,Credit Card Payment,Silver Card
10/27/2018,Phone Company,186.23,debit,Restaurants,Platinum Card
07/11/2018,Credit Card Payment,407.69,credit,Credit Card Payment,Checking
04/16/2018,Credit Card Payment,595.56,credit,Credit Card Payment,Platinum Card
05/15/2018,Biweekly Paycheck,976.63,credit,Credit Card Payment,Checking
01/21/2019,Fancy Restaurant,77.43,debit,Mobile Phone,Checking
06/27/2018,Pizza Place,1.75,debit,Gas & Fuel,Platinum Card
03/23/2019,Brunch Restaurant,2209.51,credit,Credit Card Payment,Checking
02/21/2018,Mediterranean Restaurant,195.11,debit,Internet,Silver Card
09/01/2018,Amazon,1.75,debit,Paycheck,Checking
07/09/2019,Starbucks,200.49,debit,Mortgage & Rent,Platinum Card
01/19/2018,Biweekly Paycheck,2975.88,credit,Paycheck,Checking
06/10/2018,Grocery Store,175.06,debit,Music,Platinum Card
03/20/2019,Bojangles,1.75,debit,Utilities,Platinum Card
11/08/2018,State Farm,1.75,debit,Utilities,Platinum Card
03/30/2019,Japanese Restaurant,37.93,debit,Restaurants,Platinum Card
11/12/2018,Movie Theater,1.75,debit,Gas & Fuel,Platinum Card
04/08/2018,Amazon,180.73,debit,Restaurants,Silver Card
06/12/2019,Grocery Store,1.75,debit,Groceries,Platinum Card
08/06/2019,Credit Card Payment,81.81,debit,Paycheck,Checking
01/16/2019,Credit Card Payment,1.75,debit,Movies & DVDs,Checking
04/23/2018,Grocery Store,1.75,debit,Restaurants,Silver Card
06/22/2018,Internet Service Provider,66.73,debit,Shopping,Platinum Card
01/21/2019,Mortgage Payment,199.5,debit,Restaurants,Silver Card
01/19/2018,Brewing Company,1.75,debit,Groceries,Platinum Card
01/04/2019,Power Company,2222.36,credit,Credit Card Payment,Checking
05/14/2019,German Restaurant,196.89,debit,Credit Card Payment,Checking
04/11/2018,Amazon,197.98,debit,Credit Card Payment,Checking
01/02/2019,Sushi Restaurant,104.16,debit,Credit Card Payment,Platinum Card
01/10/2019,Gas Station,189.51,debit,Utilities,Silver Card
05/15/2018,American Tavern,111.01,debit,Paycheck,Platinum Card
04/22/2019,Credit Card Payment,1.75,credit,Credit Card Payment,Platinum Card
04/06/2018,Starbucks,1.75,debit,Utilities,Platinum Card
03/14/2019,Grocery Store,30.79,debit,Home Improvement,Platinum Card
09/18/2019,Credit Card Payment,3340.0,debit,Credit Card Payment,Platinum Card
09/04/2018,Hardware Store,53.54,debit,Alcohol & Bars,Checking
04/23/2018,Gas Company,144.18,debit,Restaurants,Platinum Card
02/21/2018,Grocery Store,1.75,debit,Paycheck,Checking
05/05/2018,City Water Charges,1.75,debit,Food & Dining,Platinum Card
11/06/2018,City Water Charges,192.73,debit,Utilities,Silver Card
02/15/2019,Phone Company,200.5,debit,Utilities,Platinum Card
07/08/2018,Liquor Store,2145.41,debit,Credit Card Payment,Checking
05/15/2018,Amazon,197.28,debit,Alcohol & Bars,Platinum Card
05/18/2018,Starbucks,71.47,debit,Music,Checking
06/08/2018,Grocery Store,1.75,debit,Utilities,Platinum Card
04/26/2018,Brewing Company,60.27,debit,Auto Insurance,Platinum Card
07/14/2018,Hardware Store,1.75,debit,Restaurants,Silver Card
12/21/2018,Starbucks,108.66,debit,Electronics & Software,Platinum Card
03/12/2019,Bojangles,1.75,debit,Movies & DVDs,Silver Card
09/03/2019,Barbershop,197.23,debit,Gas & Fuel,Platinum Card
10/10/2018,Phone Company,139.68,debit,Fast Food,Platinum Card
07/02/2018,BP,1.75,debit,Alcohol & Bars,Platinum Card
07/04/2018,Chick-Fil-A,186.54,debit,Shopping,Platinum Card
06/10/2018,State Farm,200.13,debit,Groceries,Silver Card
08/01/2018,Gas Company,1.75,debit,Restaurants,Platinum Card
09/07/2018,Credit Card Payment,1211.86,credit,Credit Card Payment,Silver Card
01/01/2018,Biweekly Paycheck,769.44,credit,Paycheck,Platinum Card
04/22/2018,Roadside Diner,167.87,debit,Utilities,Checking
03/05/2019,Biweekly Paycheck,120.04,debit,Gas & Fuel,Checking
12/11/2018,Internet Service Provider,1.75,debit,Music,Platinum Card
03/05/2018,City Water Charges,982.18,debit,Restaurants,Checking
06/12/2018,Credit Card Payment,1.75,debit,Movies & DVDs,Platinum Card
05/11/2018,Brunch Restaurant,110.51,debit,Paycheck,Checking
04/26/2018,Amazon,1.75,debit,Gas & Fuel,Silver Card
01/15/2019,Greek Restaurant,1.75,debit,Utilities,Platinum Card
03/07/2018,State Farm,1.75,debit,Restaurants,Platinum Card
06/08/2018,Mortgage Payment,199.36,debit,Home Improvement,Silver Card
02/09/2019,Phone Company,808.52,debit,Television,Silver Card
06/12/2019,Liquor Store,3198.14,credit,Paycheck,Checking
04/24/2018,Sushi Restaurant,190.06,debit,Home Improvement,Platinum Card
06/21/2018,Amazon,176.09,debit,Home Improvement,Platinum Card
06/27/2018,Brewing Company,1.75,debit,Home Improvement,Platinum Card
06/09/2019,Credit Card Payment,2135.02,credit,Paycheck,Checking
05/01/2018,American Tavern,45.98,debit,Food & Dining,Platinum Card
03/08/2018,Starbucks,1.75,debit,Fast Food,Checking
04/22/2019,Thai Restaurant,195.9,debit,Entertainment,Silver Card
04/02/2018,Biweekly Paycheck,2217.09,credit,Paycheck,Platinum Card
07/15/2018,Amazon,188.53,debit,Paycheck,Checking
03/02/2018,BBQ Restaurant,130.19,debit,Groceries,Checking
04/02/2018,Biweekly Paycheck,259.04,credit,Paycheck,Checking
08/20/2018,Brunch Restaurant,3315.02,debit,Utilities,Platinum Card
12/26/2018,Exxon,31.18,debit,Gas & Fuel,Platinum Card
06/14/2018,Blue Sky Market,110.14,debit,Shopping,Platinum Card
05/14/2018,Phone Company,56.22,debit,Movies & DVDs,Platinum Card
07/09/2018,Hardware Store,187.87,debit,Movies & DVDs,Silver Card
07/11/2018,Amazon,179.74,debit,Restaurants,Platinum Card
08/20/2018,Hawaiian Grill,196.95,credit,Fast Food,Platinum Card
01/05/2018,Credit Card Payment,149.46,debit,Mortgage & Rent,Checking
03/18/2019,Biweekly Paycheck,3339.7,credit,Paycheck,Checking
10/31/2018,Biweekly Paycheck,2069.01,debit,Utilities,Checking
04/04/2018,Credit Card Payment,1875.18,credit,Credit Card Payment,Checking
12/09/2018,Valero,1.75,debit,Restaurants,Platinum Card
02/15/2019,Brewing Company,1.75,debit,Mobile Phone,Checking
04/22/2019,Credit Card Payment,1.75,debit,Credit Card Payment,Platinum Card
04/04/2018,Biweekly Paycheck,2120.81,credit,Credit Card Payment,Checking
06/19/2018,Movie Theater,2197.95,debit,Restaurants,Checking
01/18/2019,Biweekly Paycheck,185.46,debit,Paycheck,Checking
12/21/2018,Biweekly Paycheck,1851.87,debit,Credit Card Payment,Checking
02/03/2018,Grocery Store,277.78,debit,Auto Insurance,Platinum Card
01/18/2019,Credit Card Payment,52.86,credit,Credit Card Payment,Checking
04/02/2018,Movie Theater,198.78,debit,Restaurants,Silver Card
04/04/2018,Credit Card Payment,331.12,credit,Paycheck,Checking
12/01/2018,Shell,1.75,debit,Movies & DVDs,Platinum Card
04/04/2018,Credit Card Payment,135.76,credit,Credit Card Payment,Checking
08/09/2018,Grocery Store,200.09,debit,Shopping,Silver Card
09/01/2018,Biweekly Paycheck,781.9,credit,Paycheck,Checking
01/16/2019,Blue Sky Market,199.77,debit,Haircut,Checking
06/23/2018,Power Company,157.67,debit,Internet,Platinum Card
06/12/2019,Bakery Place,1.75,debit,Television,Silver Card
01/21/2019,Credit Card Payment,197.1,debit,Movies & DVDs,Platinum Card
01/22/2018,Grocery Store,194.48,debit,Gas & Fuel,Platinum Card
10/10/2018,Credit Card Payment,188.01,debit,Credit Card Payment,Platinum Card
03/15/2019,Biweekly Paycheck,977.21,credit,Paycheck,Checking
01/21/2019,Starbucks,1.75,debit,Credit Card Payment,Platinum Card
06/03/2018,Credit Card Payment,757.76,credit,Credit Card Payment,Silver Card
02/26/2018,Biweekly Paycheck,873.99,credit,Gas & Fuel,Checking
04/23/2018,Brunch Restaurant,181.12,debit,Restaurants,Platinum Card
10/22/2018,Mortgage Payment,197.43,debit,Gas & Fuel,Checking
06/14/2018,Grocery Store,1.75,debit,Groceries,Platinum Card
03/12/2019,State Farm,1.75,debit,Restaurants,Checking
08/24/2018,Fancy Restaurant,1.75,debit,Mobile Phone,Platinum Card
05/15/2018,Biweekly Paycheck,3305.48,credit,Paycheck,Checking
12/18/2018,Irish Restaurant,146.58,debit,Credit Card Payment,Silver Card
01/21/2019,Biweekly Paycheck,3333.67,credit,Paycheck,Checking
05/06/2018,Credit Card Payment,2187.92,credit,Credit Card Payment,Checking
05/30/2019,Greek Restaurant,1.75,debit,Mortgage & Rent,Checking
07/06/2019,Power Company,2119.21,debit,Utilities,Checking
04/02/2018,State Farm,9.72,debit,Restaurants,Platinum Card
08/31/2018,Mexican Restaurant,130.69,debit,Restaurants,Platinum Card
01/15/2019,Biweekly Paycheck,981.44,debit,Credit Card Payment,Checking
07/20/2018,Biweekly Paycheck,1375.35,debit,Restaurants,Platinum Card
07/21/2018,Irish Pub,1.75,debit,Restaurants,Platinum Card
05/19/2018,Netflix,170.76,debit,Utilities,Platinum Card
04/04/2018,Biweekly Paycheck,3013.17,credit,Paycheck,Checking
01/01/2018,Mortgage Payment,1.75,credit,Restaurants,Platinum Card
07/09/2018,Biweekly Paycheck,181.79,debit,Food & Dining,Platinum Card
06/17/2019,Hardware Store,197.14,debit,Food & Dining,Checking
01/22/2018,New York Deli,188.75,debit,Home Improvement,Platinum Card
12/18/2018,Grocery Store,188.1,debit,Movies & DVDs,Platinum Card
12/01/2018,Wendy's,1.75,debit,Home Improvement,Platinum Card
05/14/2018,QuikTrip,200.58,debit,Haircut,Platinum Card
01/11/2018,Biweekly Paycheck,3046.21,credit,Credit Card Payment,Checking
05/15/2018,New York Deli,1.75,debit,Restaurants,Checking
11/06/2018,Amazon,185.36,debit,Fast Food,Platinum Card
05/14/2018,Chick-Fil-A,185.6,debit,Paycheck,Platinum Card
06/12/2019,Biweekly Paycheck,2083.27,credit,Paycheck,Checking
08/27/2018,Biweekly Paycheck,770.76,credit,Credit Card Payment,Checking
04/16/2018,Credit Card Payment,558.96,credit,Paycheck,Checking
02/16/2019,State Farm,1.75,debit,Gas & Fuel,Platinum Card
01/11/2018,Credit Card Payment,147.95,debit,Shopping,Silver Card
07/17/2018,Barbershop,198.01,debit,Home Improvement,Silver Card
03/04/2019,Biweekly Paycheck,1.75,debit,Restaurants,Checking
03/04/2019,State Farm,96.09,debit,Shopping,Silver Card
01/12/2018,Starbucks,103.17,debit,Restaurants,Silver Card
03/04/2018,Brunch Restaurant,184.5,debit,Gas & Fuel,Checking
07/08/2018,Amazon,1.75,debit,Internet,Checking
08/01/2018,German Restaurant,1.75,debit,Shopping,Platinum Card
05/17/2018,Grocery Store,1.75,debit,Groceries,Platinum Card
02/04/2019,Phone Company,2146.56,debit,Utilities,Platinum Card
02/16/2019,Liquor Store,31.94,debit,Coffee Shops,Platinum Card
04/13/2018,Greek Restaurant,44.6,debit,Utilities,Platinum Card
02/04/2018,Netflix,95.67,debit,Internet,Platinum Card
07/06/2019,Pizza Place,9.38,debit,Restaurants,Checking
02/01/2019,QuikTrip,81.19,debit,Restaurants,Platinum Card
12/18/2018,Internet Service Provider,60.5,debit,Groceries,Platinum Card
01/03/2019,German Restaurant,1.75,debit,Gas & Fuel,Platinum Card
02/21/2018,Biweekly Paycheck,3361.51,credit,Credit Card Payment,Checking
06/18/2018,Grocery Store,1.75,debit,Fast Food,Silver Card
03/23/2019,Power Company,1.75,debit,Music,Silver Card
07/09/2018,Circle K,74.88,debit,Electronics & Software,Platinum Card
02/13/2019,Grocery Store,198.98,debit,Groceries,Platinum Card
01/21/2019,Power Company,185.75,debit,Shopping,Platinum Card
04/22/2018,Biweekly Paycheck,2869.06,credit,Paycheck,Checking
01/22/2019,QuikTrip,1.75,debit,Restaurants,Silver Card
10/09/2018,Grocery Store,198.86,debit,Groceries,Platinum Card
12/22/2018,Spotify,144.57,debit,Television,Silver Card
01/16/2019,Credit Card Payment,168.55,debit,Restaurants,Platinum Card
09/18/2018,City Water Charges,3.21,debit,Groceries,Platinum Card
02/07/2019,Chick-Fil-A,193.04,debit,Credit Card Payment,Checking
01/16/2019,Fancy Restaurant,95.8,debit,Haircut,Checking
07/08/2018,Grocery Store,1.75,debit,Paycheck,Platinum Card
07/09/2018,Amazon,96.21,debit,Shopping,Platinum Card
03/12/2019,Grocery Store,74.38,debit,Coffee Shops,Checking
02/01/2019,Grocery Store,1.75,debit,Alcohol & Bars,Silver Card
07/01/2019,Credit Card Payment,1942.72,credit,Credit Card Payment,Checking
01/04/2018,Phone Company,19.78,debit,Gas & Fuel,Silver Card
05/01/2018,BP,1.75,debit,Coffee Shops,Platinum Card
04/02/2018,Hardware Store,97.92,debit,Auto Insurance,Silver Card
09/01/2018,Credit Card Payment,832.72,credit,Restaurants,Platinum Card
06/19/2018,Barbershop,1.75,debit,Shopping,Platinum Card
01/02/2018,Brunch Restaurant,144.87,debit,Movies & DVDs,Platinum Card
05/07/2019,Biweekly Paycheck,3339.33,credit,Paycheck,Checking
10/17/2018,Biweekly Paycheck,3054.28,debit,Paycheck,Checking
05/09/2018,Bojangles,68.96,debit,Credit Card Payment,Checking
06/27/2018,Starbucks,143.5,debit,Utilities,Platinum Card
03/20/2019,Movie Theater,187.49,debit,Paycheck,Checking
02/16/2019,Amazon,34.34,debit,Paycheck,Platinum Card
07/14/2018,Barbershop,200.17,debit,Auto Insurance,Checking
01/21/2019,Credit Card Payment,3.54,debit,Credit Card Payment,Platinum Card
06/08/2018,Roadside Diner,1.75,debit,Gas & Fuel,Silver Card
04/19/2019,Power Company,136.77,debit,Music,Platinum Card
05/01/2018,Biweekly Paycheck,623.95,credit,Credit Card Payment,Checking
03/05/2018,Grocery Store,1.75,debit,Fast Food,Platinum Card
01/03/2019,Biweekly Paycheck,3275.02,credit,Paycheck,Checking
07/01/2018,Starbucks,1.75,debit,Utilities,Silver Card
06/27/2018,Biweekly Paycheck,187.71,debit,Internet,Platinum Card
12/26/2018,Conoco,1.75,debit,Credit Card Payment,Silver Card
01/03/2018,Power Company,1.75,debit,Home Improvement,Platinum Card
05/19/2018,Seafood Restaurant,4.06,debit,Haircut,Platinum Card
11/08/2018,Credit Card Payment,181.37,debit,Television,Platinum Card
04/22/2018,Pizza Place,1.75,debit,Food & Dining,Silver Card
06/21/2018,Amazon,191.57,debit,Restaurants,Platinum Card
04/20/2018,Grocery Store,95.15,debit,Auto Insurance,Platinum Card
11/23/2018,Credit Card Payment,1.75,debit,Paycheck,Checking
07/17/2018,Biweekly Paycheck,42.21,debit,Internet,Checking
04/01/2018,Irish Restaurant,1.75,debit,Gas & Fuel,Platinum Card
10/23/2018,Mediterranean Restaurant,200.14,debit,Utilities,Checking
08/31/2018,Fancy Restaurant,1.75,debit,Alcohol & Bars,Silver Card
02/05/2018,Mexican Restaurant,39.69,debit,Gas & Fuel,Platinum Card
04/27/2018,Hawaiian Grill,176.25,debit,Coffee Shops,Platinum Card
10/04/2018,Brewing Company,1.75,debit,Home Improvement,Platinum Card
12/11/2018,Chick-Fil-A,1.75,debit,Restaurants,Platinum Card
04/03/2018,Exxon,1.75,debit,Fast Food,Platinum Card
03/22/2019,Brewing Company,197.55,debit,Groceries,Platinum Card
06/27/2018,Seafood Restaurant,60.21,debit,Groceries,Platinum Card
12/18/2018,Greek Restaurant,10.64,debit,Fast Food,Platinum Card
05/01/2018,City Water Charges,144.39,debit,Shopping,Platinum Card
05/17/2018,Grocery Store,169.18,debit,Shopping,Silver Card
01/12/2018,Internet Service Provider,198.77,debit,Restaurants,Platinum Card
06/03/2018,Grocery Store,15.23,debit,Home Improvement,Silver Card
02/06/2018,New York Deli,164.01,credit,Credit Card Payment,Checking
04/06/2018,Phone Company,3283.96,debit,Gas & Fuel,Checking
03/15/2019,Biweekly Paycheck,3317.49,credit,Paycheck,Checking
06/04/2018,American Tavern,1.75,debit,Credit Card Payment,Platinum Card
12/23/2018,Chevron,190.78,debit,Home Improvement,Platinum Card
04/24/2018,Gas Company,200.57,debit,Alcohol & Bars,Platinum Card
05/19/2018,Biweekly Paycheck,75.8,credit,Credit Card Payment,Checking
01/24/2019,Mexican Restaurant,1.75,debit,Restaurants,Platinum Card
08/06/2019,Spotify,76.65,debit,Gas & Fuel,Platinum Card
08/08/2019,Bakery Place,1.75,debit,Utilities,Silver Card
05/06/2018,Credit Card Payment,187.32,debit,Restaurants,Platinum Card
05/04/2018,Credit Card Payment,3363.54,credit,Credit Card Payment,Checking
11/06/2018,City Water Charges,190.99,debit,Groceries,Platinum Card
06/12/2019,Netflix,200.44,debit,Restaurants,Platinum Card
12/12/2018,Chevron,79.67,debit,Restaurants,Platinum Card
01/12/2018,Biweekly Paycheck,1.75,credit,Paycheck,Checking
05/24/2018,Biweekly Paycheck,914.45,credit,Paycheck,Checking
07/11/2018,BP,1.75,debit,Restaurants,Platinum Card
04/08/2018,Fancy Restaurant,114.54,debit,Mobile Phone,Silver Card
01/24/2019,Biweekly Paycheck,3293.68,debit,Paycheck,Platinum Card
06/26/2018,Grocery Store,1.75,debit,Groceries,Platinum Card
05/11/2018,Spotify,1.75,debit,Coffee Shops,Platinum Card
01/09/2019,Brunch Restaurant,111.51,debit,Home Improvement,Platinum Card
05/14/2019,Valero,2780.84,debit,Credit Card Payment,Checking
12/07/2018,Credit Card Payment,168.16,debit,Restaurants,Silver Card
11/19/2018,Power Company,193.59,debit,Movies & DVDs,Silver Card
03/23/2019,Biweekly Paycheck,2222.51,credit,Paycheck,Checking
07/09/2018,Credit Card Payment,1392.74,credit,Paycheck,Platinum Card
06/10/2018,Amazon,1.75,debit,Credit Card Payment,Platinum Card
07/08/2018,Biweekly Paycheck,1337.87,credit,Credit Card Payment,Platinum Card
05/06/2018,Hardware Store,1.75,debit,Electronics & Software,Silver Card
04/23/2018,Greek Restaurant,180.05,debit,Shopping,Platinum Card
05/15/2018,Credit Card Payment,168.89,debit,Credit Card Payment,Checking
01/03/2019,Credit Card Payment,2084.32,credit,Credit Card Payment,Silver Card
